,Position,Entry Time,Entry Price,Exit Time,Exit Price,PnL
154,1.0,2019-12-19 13:45:00+00:00,137.53,2019-12-19 14:00:00+00:00,137.61,0.0800000000000125
155,1.0,2019-12-19 14:45:00+00:00,137.38,2019-12-19 16:00:00+00:00,137.35,-0.030000000000001137
156,1.0,2019-12-20 09:45:00+00:00,138.75,2019-12-20 13:30:00+00:00,138.08,-0.6699999999999875
157,1.0,2019-12-20 15:15:00+00:00,137.51000000000002,2019-12-23 10:00:00+00:00,137.66,0.14999999999997726
158,1.0,2019-12-23 11:15:00+00:00,137.52,2019-12-23 13:15:00+00:00,137.26,-0.2600000000000193
159,1.0,2019-12-23 15:00:00+00:00,137.22,2019-12-23 15:30:00+00:00,137.3,0.0800000000000125
160,1.0,2019-12-23 16:00:00+00:00,137.21,2019-12-24 09:45:00+00:00,137.46,0.25
161,1.0,2019-12-24 10:15:00+00:00,137.26000000000002,2019-12-24 10:45:00+00:00,137.25,-0.010000000000019327
162,1.0,2019-12-24 11:00:00+00:00,137.22,2019-12-24 11:30:00+00:00,137.27,0.05000000000001137
163,1.0,2019-12-24 14:15:00+00:00,137.51,2019-12-24 14:30:00+00:00,137.64,0.12999999999999545
164,1.0,2019-12-26 10:30:00+00:00,138.46,2019-12-26 10:45:00+00:00,138.4,-0.060000000000002274
165,1.0,2019-12-26 11:00:00+00:00,138.49,2019-12-26 12:15:00+00:00,138.63,0.13999999999998636
166,1.0,2019-12-26 13:00:00+00:00,138.79,2019-12-26 13:15:00+00:00,138.67000000000002,-0.11999999999997613
167,1.0,2019-12-26 13:45:00+00:00,138.86,2019-12-26 14:45:00+00:00,138.91,0.04999999999998295
168,1.0,2019-12-26 16:00:00+00:00,139.08,2019-12-27 10:00:00+00:00,139.01000000000002,-0.06999999999999318
