,open,high,low,close,volume
2023-12-18 15:10:00-05:00,197.225,197.55,197.2,197.55,521147
2023-12-18 15:15:00-05:00,197.55,197.68,197.42,197.455,451300
2023-12-18 15:20:00-05:00,197.45,197.65,197.45,197.485,338959
2023-12-18 15:25:00-05:00,197.48,197.525,197.36,197.375,386515
2023-12-18 15:30:00-05:00,197.38,197.405,197.225,197.4,360463
2023-12-18 15:35:00-05:00,197.395,197.4,197.2,197.28,462914
2023-12-18 15:40:00-05:00,197.285,197.31,197.19,197.25,441022
2023-12-18 15:45:00-05:00,197.25,197.435,197.205,197.415,624671
2023-12-18 15:50:00-05:00,197.41,197.44,197.17,197.2499,911504
2023-12-18 15:55:00-05:00,197.24,197.31,197.02,197.08,2053096
2023-12-19 09:30:00-05:00,198.48,199.595,198.02,199.58,1650039
2023-12-19 09:35:00-05:00,199.57,199.92,199.165,199.44,1279081
2023-12-19 09:40:00-05:00,199.46,200.35,199.24,200.3,1203481
2023-12-19 09:45:00-05:00,200.29,200.76,199.97,200.55,1507365
2023-12-19 09:50:00-05:00,200.55,200.73,200.265,200.34,737589
2023-12-19 09:55:00-05:00,200.32,200.75,200.1,200.65,781055
2023-12-19 10:00:00-05:00,200.65,200.805,200.02,200.23,1123053
2023-12-19 10:05:00-05:00,200.2358,200.29,199.82,199.87,496739
2023-12-19 10:10:00-05:00,199.88,200.07,199.62,199.755,418803
2023-12-19 10:15:00-05:00,199.76,200.17,199.6201,199.99,532020
2023-12-19 10:20:00-05:00,199.99,200.02,199.67,199.965,694300
2023-12-19 10:25:00-05:00,199.95,200.27,199.88,199.92,460968
2023-12-19 10:30:00-05:00,199.93,200.2,199.77,200.015,405160
2023-12-19 10:35:00-05:00,200.01,200.42,199.84,200.26,642378
2023-12-19 10:40:00-05:00,200.27,200.34,200.005,200.025,254226
2023-12-19 10:45:00-05:00,200.005,200.15,199.86,200.13,355462
2023-12-19 10:50:00-05:00,200.12,200.19,199.925,200.1,190621
2023-12-19 10:55:00-05:00,200.1,200.3105,200.1,200.21,311223
2023-12-19 11:00:00-05:00,200.22,200.38,200.11,200.32,354182
2023-12-19 11:05:00-05:00,200.33,200.5,200.23,200.45,179238
2023-12-19 11:10:00-05:00,200.47,200.6198,200.42,200.4963,227524
2023-12-19 11:15:00-05:00,200.495,200.61,200.45,200.52,250835
2023-12-19 11:20:00-05:00,200.52,200.63,200.44,200.51,269394
2023-12-19 11:25:00-05:00,200.51,200.515,200.325,200.34,232418
2023-12-19 11:30:00-05:00,200.335,200.4,200.03,200.03,340713
2023-12-19 11:35:00-05:00,200.03,200.3,200.01,200.23,294925
2023-12-19 11:40:00-05:00,200.23,200.33,200.095,200.22,229811
2023-12-19 11:45:00-05:00,200.22,200.24,200.025,200.035,102288
2023-12-19 11:50:00-05:00,200.0299,200.09,199.86,199.99,250957
2023-12-19 11:55:00-05:00,200.0,200.01,199.68,199.7007,219117
2023-12-19 12:00:00-05:00,199.7,199.88,199.55,199.75,475498
2023-12-19 12:05:00-05:00,199.76,199.8,199.655,199.69,222756
2023-12-19 12:10:00-05:00,199.69,199.73,199.55,199.6,267115
2023-12-19 12:15:00-05:00,199.59,199.71,199.549,199.7,178759
2023-12-19 12:20:00-05:00,199.7099,199.715,199.54,199.65,186934
2023-12-19 12:25:00-05:00,199.66,199.9125,199.64,199.85,232184
2023-12-19 12:30:00-05:00,199.86,200.13,199.83,200.13,218618
2023-12-19 12:35:00-05:00,200.11,200.16,200.01,200.09,149670
2023-12-19 12:40:00-05:00,200.09,200.1,199.98,200.07,122652
2023-12-19 12:45:00-05:00,200.07,200.09,199.945,200.04,152397
2023-12-19 12:50:00-05:00,200.03,200.23,200.03,200.175,350811
2023-12-19 12:55:00-05:00,200.1725,200.2355,200.155,200.2,134472
2023-12-19 13:00:00-05:00,200.2,200.29,200.145,200.23,252308
2023-12-19 13:05:00-05:00,200.24,200.28,200.12,200.125,412384
2023-12-19 13:10:00-05:00,200.125,200.2,199.99,200.125,189204
2023-12-19 13:15:00-05:00,200.13,200.16,199.96,199.965,272931
2023-12-19 13:20:00-05:00,199.975,200.075,199.94,200.065,218576
2023-12-19 13:25:00-05:00,200.0607,200.08,199.94,200.065,257260
2023-12-19 13:30:00-05:00,200.07,200.215,200.07,200.2,212988
2023-12-19 13:35:00-05:00,200.2033,200.42,200.195,200.375,279974
2023-12-19 13:40:00-05:00,200.375,200.4999,200.3615,200.4999,221677
2023-12-19 13:45:00-05:00,200.49,200.57,200.455,200.48,209477
2023-12-19 13:50:00-05:00,200.48,200.5,200.28,200.37,171600
2023-12-19 13:55:00-05:00,200.375,200.395,200.2299,200.39,157234
2023-12-19 14:00:00-05:00,200.39,200.49,200.36,200.47,263513
2023-12-19 14:05:00-05:00,200.47,200.535,200.42,200.515,192775
2023-12-19 14:10:00-05:00,200.52,200.59,200.475,200.545,210776
2023-12-19 14:15:00-05:00,200.54,200.6,200.48,200.59,197351
2023-12-19 14:20:00-05:00,200.58,200.6,200.45,200.49,279380
2023-12-19 14:25:00-05:00,200.49,200.6,200.45,200.59,181842
2023-12-19 14:30:00-05:00,200.59,200.619,200.455,200.59,296014
2023-12-19 14:35:00-05:00,200.595,200.6,200.495,200.53,180476
2023-12-19 14:40:00-05:00,200.54,200.54,200.4,200.485,244071
2023-12-19 14:45:00-05:00,200.48,200.48,200.375,200.405,179967
2023-12-19 14:50:00-05:00,200.4,200.47,200.36,200.45,249258
2023-12-19 14:55:00-05:00,200.46,200.5399,200.4,200.5399,192721
2023-12-19 15:00:00-05:00,200.54,200.6811,200.54,200.6365,299618
2023-12-19 15:05:00-05:00,200.64,200.68,200.54,200.63,268754
2023-12-19 15:10:00-05:00,200.63,200.7356,200.6029,200.725,392786
2023-12-19 15:15:00-05:00,200.73,200.79,200.68,200.78,448141
2023-12-19 15:20:00-05:00,200.78,200.89,200.75,200.86,528271
2023-12-19 15:25:00-05:00,200.86,201.03,200.81,201.0201,702628
2023-12-19 15:30:00-05:00,201.03,201.03,200.7901,200.975,588651
2023-12-19 15:35:00-05:00,200.97,201.03,200.9,201.02,435264
2023-12-19 15:40:00-05:00,201.015,201.3,201.005,201.2,1033803
2023-12-19 15:45:00-05:00,201.2,201.2,200.99,201.13,944733
2023-12-19 15:50:00-05:00,201.14,201.21,200.87,200.94,1603630
2023-12-19 15:55:00-05:00,200.94,201.06,200.93,200.98,2595254
2023-12-20 09:30:00-05:00,199.86,199.96,198.98,199.55,1219622
2023-12-20 09:35:00-05:00,199.57,200.37,199.45,200.23,1304688
2023-12-20 09:40:00-05:00,200.245,200.3399,199.5201,199.767,753913
2023-12-20 09:45:00-05:00,199.76,199.85,199.52,199.56,501561
2023-12-20 09:50:00-05:00,199.57,199.71,199.4,199.4699,472679
